[2025-05-05 19:04:14,588][generator][INFO] - Start generate dataset.
[2025-05-05 19:04:14,591][generator][INFO] - Config:
data_generator:
  model_name: VGG19
  dataset_name: CIFAR100
  big_batch_size: 500
  small_batch_size: 128
  num_workers: 4
  target: generate_dataset.VGG_generator.VGG19_on_CIFAR100_generator
  cfg:
    speed_up:
    - 3.0
    - 4.0
    method: ${method}
    model_name: ${data_generator.model_name}
    dataset_name: ${data_generator.dataset_name}
_recursive_: true
level: 2
index: 0
num: 4
num_proc: 1
method: group_sl
name: ${data_generator.model_name}_on_${data_generator.dataset_name}
model_name: ${data_generator.model_name}
dataset_name: ${data_generator.dataset_name}
save_path: ../dataset_model/${name}_level_${level}_${index}
dataset_path: ../dataset/${data_generator.dataset_name}
cache_path: .cache/${index}
generator:
  _target_: ${data_generator.target}
  _recursive_: true
  _partial_: true
  level: ${level}
  method: ${method}
  num: ${num}
  cfg: ${data_generator.cfg}
  cfg_big_dataset: ${big_batch_dataset}
  cfg_small_dataset: ${small_batch_dataset}
dataset:
  dataset_name: ${data_generator.dataset_name}
  num_workers: ${data_generator.num_workers}
  big_batch: ${data_generator.big_batch_size}
  small_batch: ${data_generator.small_batch_size}
  dataset_path: ${dataset_path}
big_batch_dataset:
  dataset_name: ${dataset.dataset_name}
  batch_size: ${dataset.big_batch}
  num_workers: ${dataset.num_workers}
  dataset_path: ${dataset.dataset_path}
small_batch_dataset:
  dataset_name: ${dataset.dataset_name}
  batch_size: ${dataset.small_batch}
  num_workers: ${dataset.num_workers}
  dataset_path: ${dataset.dataset_path}

Generating train split: 0 examples [00:00, ? examples/s]Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
[2025-05-05 19:04:26,355][train][INFO] - Before training : Train Acc=0.0091  Val Acc=0.0094
[2025-05-05 19:04:34,174][train][INFO] - Epoch 1/200, Val Acc=0.0848, Val Loss=3.8863, lr=0.1000
[2025-05-05 19:04:41,921][train][INFO] - Epoch 2/200, Val Acc=0.1410, Val Loss=3.5429, lr=0.1000
[2025-05-05 19:04:49,704][train][INFO] - Epoch 3/200, Val Acc=0.1845, Val Loss=3.3145, lr=0.1000
[2025-05-05 19:04:57,573][train][INFO] - Epoch 4/200, Val Acc=0.2505, Val Loss=2.9105, lr=0.1000
[2025-05-05 19:05:05,193][train][INFO] - Epoch 5/200, Val Acc=0.2766, Val Loss=2.7795, lr=0.1000
[2025-05-05 19:05:13,036][train][INFO] - Epoch 6/200, Val Acc=0.2293, Val Loss=3.1971, lr=0.1000
[2025-05-05 19:05:20,756][train][INFO] - Epoch 7/200, Val Acc=0.3370, Val Loss=2.4778, lr=0.1000
[2025-05-05 19:05:28,451][train][INFO] - Epoch 8/200, Val Acc=0.2282, Val Loss=3.4082, lr=0.1000
[2025-05-05 19:05:36,190][train][INFO] - Epoch 9/200, Val Acc=0.3549, Val Loss=2.5068, lr=0.1000
[2025-05-05 19:05:43,790][train][INFO] - Epoch 10/200, Val Acc=0.3823, Val Loss=2.3744, lr=0.1000
[2025-05-05 19:05:51,395][train][INFO] - Epoch 11/200, Val Acc=0.3271, Val Loss=2.7745, lr=0.1000
[2025-05-05 19:05:59,047][train][INFO] - Epoch 12/200, Val Acc=0.3376, Val Loss=2.6235, lr=0.1000
[2025-05-05 19:06:06,722][train][INFO] - Epoch 13/200, Val Acc=0.4358, Val Loss=2.1353, lr=0.1000
[2025-05-05 19:06:14,404][train][INFO] - Epoch 14/200, Val Acc=0.3898, Val Loss=2.4059, lr=0.1000
[2025-05-05 19:06:22,142][train][INFO] - Epoch 15/200, Val Acc=0.4165, Val Loss=2.2177, lr=0.1000
[2025-05-05 19:06:29,666][train][INFO] - Epoch 16/200, Val Acc=0.4339, Val Loss=2.1114, lr=0.1000
[2025-05-05 19:06:37,389][train][INFO] - Epoch 17/200, Val Acc=0.3874, Val Loss=2.5453, lr=0.1000
[2025-05-05 19:06:45,073][train][INFO] - Epoch 18/200, Val Acc=0.4449, Val Loss=2.0931, lr=0.1000
[2025-05-05 19:06:52,746][train][INFO] - Epoch 19/200, Val Acc=0.4113, Val Loss=2.3224, lr=0.1000
[2025-05-05 19:07:00,492][train][INFO] - Epoch 20/200, Val Acc=0.4432, Val Loss=2.1617, lr=0.1000
[2025-05-05 19:07:08,094][train][INFO] - Epoch 21/200, Val Acc=0.4523, Val Loss=2.1064, lr=0.1000
[2025-05-05 19:07:15,899][train][INFO] - Epoch 22/200, Val Acc=0.4093, Val Loss=2.4091, lr=0.1000
[2025-05-05 19:07:23,536][train][INFO] - Epoch 23/200, Val Acc=0.4490, Val Loss=2.1464, lr=0.1000
[2025-05-05 19:07:31,317][train][INFO] - Epoch 24/200, Val Acc=0.4376, Val Loss=2.2573, lr=0.1000
